title,genres,rating,revenue,budget,runtime,release_year,vote_count,metascore,studio,language
Movie 288,"Drama, Romance",4.4,429889364.59,20804012.1,171,2023,7494,68.0,Sony,English
Movie 289,Action,7.0,739079793.27,47935724.38,99,2012,14156,69.0,Warner Bros,French
Movie 290,Action,9.3,935023344.62,138235458.91,139,2009,28480,67.0,Sony,Spanish
Movie 291,Sci-Fi,6.9,926312827.78,19845517.6,103,2014,26135,89.0,Universal,English
Movie 292,Drama,7.5,456330977.69,170985348.24,129,2012,30720,88.0,Disney,French
Movie 293,"Action, Sci-Fi",7.8,122105665.38,101553572.77,128,2022,19977,39.0,Universal,English
Movie 294,Horror,6.5,984992786.97,98714382.58,130,2021,43504,,Sony,Spanish
Movie 295,Drama,7.5,840509105.58,120519518.01,175,2021,31011,92.0,Warner Bros,French
Movie 296,Sci-Fi,7.2,133416054.39,165812788.36,115,2020,32884,78.0,Paramount,Spanish
Movie 297,Sci-Fi,9.0,921633463.79,72822795.54,177,2021,3291,93.0,Sony,Korean
Movie 298,Drama,4.2,871197398.44,137213149.75,179,2008,33260,61.0,Warner Bros,French
Movie 299,Sci-Fi,5.5,523649676.55,115317732.98,145,2008,25100,36.0,Disney,French
Movie 300,Drama,9.2,595362681.39,57070512.68,158,2014,39140,50.0,Universal,French
Movie 301,Comedy,8.9,405012676.83,176332847.34,113,2009,49823,49.0,Universal,French
Movie 302,Drama,6.5,64214022.43,160498074.21,115,2023,3731,55.0,Universal,Korean
Movie 303,"Drama, Romance",7.4,341845269.23,133398107.76,85,2024,6272,97.0,Disney,French
Movie 304,Drama,5.5,804824914.11,170863437.17,118,2009,42180,44.0,Warner Bros,English
Movie 305,Sci-Fi,5.0,14585702.77,174122369.19,121,2007,23661,43.0,Disney,French
Movie 306,"Drama, Romance",,340164179.97,143130780.46,137,2023,24917,56.0,Universal,Korean
Movie 307,Sci-Fi,5.9,404187006.66,168217599.03,91,2015,20381,,Sony,French
Movie 308,Action,7.2,542021646.91,141006935.03,82,2016,28771,87.0,Paramount,English
Movie 309,Action,4.4,920657060.25,137627450.49,97,2004,25464,57.0,Disney,Korean
Movie 310,"Drama, Romance",9.4,352882534.42,125629218.75,119,2003,41774,55.0,Disney,Korean
Movie 311,Comedy,9.4,353483669.88,151779744.71,100,2017,27525,92.0,Warner Bros,English
Movie 312,Action,7.8,740126235.63,35927995.53,94,2023,28702,95.0,Warner Bros,English
Movie 313,Drama,6.9,457695761.48,176769798.04,176,2018,23353,54.0,Disney,English
Movie 314,Sci-Fi,5.7,232358774.71,175009487.91,178,2003,23572,32.0,Universal,English
Movie 315,Action,8.5,457915120.97,10703220.19,105,2006,49330,73.0,Paramount,English
Movie 316,Action,7.8,149448450.18,166034266.36,87,2009,8180,71.0,Warner Bros,Korean
Movie 317,Comedy,,184623116.64,30129624.16,179,2024,7199,35.0,Universal,Korean
Movie 318,"Drama, Romance",9.0,503384095.01,70348176.58,173,2017,25531,68.0,Sony,French
Movie 319,"Drama, Romance",8.5,424736195.01,149984109.98,166,2018,31286,81.0,Warner Bros,French
Movie 320,"Action, Sci-Fi",9.2,915697442.06,36348179.73,121,2003,47784,52.0,Universal,Spanish
Movie 321,Comedy,8.0,368769960.13,164503569.7,123,2009,30211,79.0,Universal,French
Movie 322,Drama,7.4,584782466.78,167266164.7,93,2000,39951,72.0,Paramount,French
Movie 323,"Drama, Romance",6.3,635941645.04,103956208.08,157,2022,22714,48.0,Paramount,English
Movie 324,Sci-Fi,9.1,22963512.02,6245244.98,81,2017,26824,98.0,Sony,English
Movie 325,Comedy,8.8,666901998.3,60972435.97,116,2004,42091,80.0,Universal,French
Movie 326,Action,4.2,186255607.2,125300749.08,148,2014,5040,40.0,Universal,Spanish
Movie 327,Sci-Fi,4.1,961459614.29,196331304.72,117,2016,28858,41.0,Paramount,English
Movie 106,Horror,4.7,376767381.76,122100787.78,91,2009,20521,39.0,Paramount,Spanish
Movie 030,Sci-Fi,7.6,122422016.28,9950339.35,91,2021,29471,65.0,Disney,English
Movie 102,Sci-Fi,4.2,808139267.0,31692697.86,114,2012,32476,32.0,Warner Bros,Spanish
Movie 184,"Drama, Romance",4.5,537263538.23,67224592.28,99,2011,23663,38.0,Universal,French
Movie 300,Drama,9.2,595362681.39,57070512.68,158,2014,39140,50.0,Universal,French
Movie 221,Drama,4.5,818433445.08,148828548.81,171,2014,31923,65.0,Disney,Spanish
Movie 189,Horror,4.1,990060630.07,28510542.73,176,2024,12016,79.0,Sony,Spanish
Movie 248,Sci-Fi,,43197110.39,123508675.0,179,2018,31274,,Disney,Korean
